Cell line	Tissue Supergroup	Metastatic Tissue	Primary Tissue	Tissue Diagnosis	Age	Age Unit	Gender	Ethnicity	SNP Cluster Number	In Final Analysis Set	Growth Media	Freeze Media	CCLE ID	Sanger ID
PA-TU-8988T	Pancreas	NA	Pancreas	Adenocarcinoma	64	Years	Female	NA	318	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	PA-TU-8988T	NA
Panc 02.03	Pancreas	NA	Pancreas	Adenocarcinoma	70	Years	Female	Caucasian	418	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Panc 02.03	NA
Panc 03.27	Pancreas	NA	Pancreas	Adenocarcinoma	65	Years	Female	Caucasian	417	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Panc 03.27	PANC-03-27
Panc 04.03	Pancreas	NA	Pancreas	Adenocarcinoma	70	Years	Male	Caucasian	416	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Panc 04.03	NA
Panc 05.04	Pancreas	NA	Pancreas	Adenocarcinoma	77	Years	Female	Caucasian	415	TRUE	RPMI-1640, 15% FBS, 20 U/ml human recombinant insulin, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Panc 05.04	NA
Panc 08.13	Pancreas	NA	Pancreas	Adenocarcinoma	85	Years	Male	Caucasian	414	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Panc 08.13	PANC-08-13
PANC-1	Pancreas	Soft Tissue	Pancreas	Adenocarcinoma	56	Years	Male	Caucasian	413	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	PANC-1	NA
PC-3	Other	NA	Prostate	Adenocarcinoma	62	Years	Male	Caucasian	133	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	PC-3	PC-3
PE/CA-PJ15	Head-Neck	NA	Tongue	Carcinoma Squamous Cell	NA	NA	NA	NA	119	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	PE/CA-PJ15	NA
PE01	Ovary	NA	Ovary	Adenocarcinoma	NA	NA	NA	NA	135	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
Pfeiffer	Lymphoid	NA	Blood	Hodgkin's Lymphoma	NA	NA	NA	NA	465	TRUE	#N/A	#N/A	Pfeiffer	NA
PK-45H	Pancreas	NA	Pancreas	Carcinoma	NA	NA	NA	NA	317	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	PK-45H	NA
PK-45P	Pancreas	NA	Pancreas	Carcinoma	NA	NA	NA	NA	317	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
PK-59	Pancreas	NA	Pancreas	Carcinoma	NA	NA	NA	NA	316	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	PK-59	NA
PK-8	Pancreas	NA	Pancreas	Carcinoma	NA	NA	NA	NA	315	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
PL-21	Lymphoid	NA	Blood	Leukemia	24	Years	Male	NA	392	TRUE	RPMI-1640; 10% HI FBS; 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	PL-21	NA
PL45	Pancreas	NA	Pancreas	Adenocarcinoma Ductal	NA	NA	Male	Caucasian	411	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	PL45	NA
PLC/PRF/5	Liver	NA	Liver	Carcinoma Hepatocellular	NA	NA	NA	NA	249	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	PLC/PRF/5	PLC-PRF-5
PSN1	Pancreas	NA	Pancreas	Adenocarcinoma	NA	NA	NA	NA	69	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	PSN1	PSN1
QGP-1	Pancreas	NA	Pancreas	Carcinoma Islet Cell	NA	NA	NA	NA	314	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	QGP-1	NA
RAJI	Lymphoid	NA	Blood	Malignant Lymphoma - Burkitts Type	11	Years	Male	African	464	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Raji	Raji
RAMOS	Lymphoid	NA	Blood	Malignant Lymphoma - Burkitts Type	3	Years	Male	NA	463	TRUE	RPMI-1640 10% HI FBS, 2mM Glutamine	Complete Growth Media, 90%; DMSO, 10%	NA	NA
RC-K8	Lymphoid	NA	Blood	Lymphoma B-cell	NA	NA	NA	NA	462	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
RCM-1	Colo-Rectal	NA	Colon	Adenocarcinoma	73	Years	Female	NA	38	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	RCM-1	RCM-1
REC-1	Lymphoid	NA	Lymph Node	Lymphoma B-cell	61	Years	Male	NA	461	TRUE	RPMI-1640, 10% HI FBS, 2mM Glutamine	70% RPMI, 20% HI FBS, 10% DMSO	REC-1	NA
RERF-GC-1B	Stomach	NA	Stomach	Carcinoma	41	Years	Male	Japanese	586	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	RERF-GC-1B	NA
RERF-LC-KJ	Lung	NA	Lung	Adenocarcinoma	78	Years	Male	NA	339	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	RERF-LC-KJ	NA
RERF-LC-MS	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	NA	NA	491	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	RERF-LC-MS	RERF-LC-MS
RERF-LC-OK	Lung	NA	Lung	Adenocarcinoma	NA	NA	NA	NA	338	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
RI-1	Lymphoid	NA	Lymph Node	Lymphoma B-cell	57	Years	Female	NA	460	TRUE	RPMI-1640, 10% HI FBS, 2mM Glutamine	RPMI-1640, 20% HI FBS, 10% DMSO	RI-1	NA
RKN	Ovary	NA	Ovary	Leiomyosarcoma	45	Years	Female	Japanese	40	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	RKN	NA
RKO	Colo-Rectal	NA	Colon	Carcinoma	NA	NA	NA	NA	259	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	RKO	RKO
RKO-E6	Colo-Rectal	NA	Colon	Carcinoma	NA	NA	NA	NA	259	FALSE	EMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
RL	Lymphoid	NA	Lymph Node	Lymphoma B-cell	52	Years	Male	NA	459	TRUE	RPMI-1640, 10% HI FBS, 2mM Glutamine	RPMI 1640, 20% HI FBS, 10% DMSO	RL	RL
RMG-I	Ovary	NA	Ovary	Carcinoma	NA	NA	NA	NA	37	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	RMG-I	RMG-I
RMUG-S	Ovary	NA	Ovary	Adenocarcinoma	62	Years	Female	Japanese	36	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	RMUG-S	NA
RPMI 2650	Colo-Rectal	NA	Septum	Carcinoma Squamous Cell	52	Years	Male	NA	131	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	RPMI-2650
RPMI 8226	Lymphoid	NA	Blood	Multiple Myeloma	NA	NA	NA	NA	372	TRUE	RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	RPMI 8226	RPMI-8226
RPMI-7951	Skin	NA	Skin	Melanoma	18	Years	NA	Caucasian	399	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	RPMI-7951	RPMI-7951
RT-112	Urinary Bladder	NA	Urinary Bladder	Carcinoma Transitional Cell	NA	NA	Female	NA	254	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	RT-112	RT-112
RT4	Urinary Bladder	NA	Urinary Bladder	Carcinoma Transitional Cell	63	Years	Male	Caucasian	253	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	RT4	NA
SC-1	Lymphoid	NA	Lymph Node	Lymphoma B-cell	67	Years	Male	NA	458	TRUE	RPMI-1640 10% HI FBS, 2mM Glutamine	Complete Growth Media, 90%; DMSO, 10%	NA	NA
SCC-15	Head-Neck	NA	Tongue	Carcinoma Squamous Cell	NA	NA	NA	NA	109	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SCC-15	SCC-15
SCC-25	Head-Neck	NA	Tongue	Carcinoma Squamous Cell	NA	NA	NA	NA	197	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SCC-25	SCC-25
SCC-3	Lymphoid	NA	Blood	Lymphoma Non-Hodgkins	20	Years	NA	NA	457	TRUE	RPMI-1640 10% Heat Inactivated FBS, 2mM Glutamine	Complete Growth Media, 90%; DMSO, 10%	NA	SCC-3
SCC-9	Head-Neck	NA	Tongue	Carcinoma Squamous Cell	25	Years	Male	NA	108	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SCC-9	SCC-9
SCLC-21H	Lung	NA	Lung	Carcinoma Small Cell	46	Years	Male	Caucasian	229	FALSE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SCLC-21H	SCLC-21H
SCLC-22H	Lung	NA	Lung	Carcinoma Small Cell	46	Years	Male	Caucasian	229	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
SET-2	Lymphoid	NA	Blood	Leukemia Acute Myelogenic	NA	NA	NA	NA	61	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Set-2	NA
SF268	Brain	NA	Brain	Glioma	NA	NA	NA	NA	278	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	NA	SF268
SF539	Brain	NA	Brain	Glioma	NA	NA	NA	NA	277	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	NA	SF539
SIG-M5	Lymphoid	NA	Blood	Leukemia Acute Myelogenic	NA	NA	NA	NA	305	TRUE	RPMI-1640, 20% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SIG-M5	NA
SiHa	Cervix	NA	Cervix	Carcinoma Squamous Cell	NA	NA	NA	NA	265	TRUE	RPMI-1640, 10% FBS, L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	SiHa
SJCRH30	Sarcomatoid	NA	Skeletal Muscle	Rhabdomyosarcoma	17	Years	Male	Caucasian	130	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
SK-BR-3	Breast	NA	Breast	Adenocarcinoma	43	Years	Female	Caucasian	533	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SK-BR-3	NA
SK-CO-1	Colo-Rectal	NA	Colon	Adenocarcinoma	65	Years	Male	Caucasian	519	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS, 10% DMSO	SK-CO-1	SK-CO-1
SK-MEL-1	Skin	Lymphatic Tissue	Skin	Melanoma Metastatic	29	Years	Male	Caucasian	602	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SK-MEL-1	NA
SK-MEL-2	Skin	NA	Skin	Melanoma	60	Years	Male	Caucasian	397	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SK-MEL-2	SK-MEL-2
SK-MEL-24	Skin	Lymph Node	Skin	Melanoma	67	Years	Male	Caucasian	200	TRUE	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	SK-MEL-24	SK-MEL-24
SK-MEL-28	Skin	NA	Skin	Melanoma	51	Years	Male	NA	398	TRUE	DMEM, 10% FBS, 2mM Glutamine	Complete growth medium, 90%; DMSO, 10%	SK-MEL-28	SK-MEL-28
SK-MEL-3	Skin	NA	Skin	Melanoma	42	Years	Female	Caucasian	25	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SK-MEL-3	SK-MEL-3
SK-MEL-30	Skin	NA	Skin	Melanoma	67	Years	Male	Caucasian	601	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SK-MEL-30	SK-MEL-30
SK-MEL-31	Skin	NA	Skin	Melanoma	NA	NA	Female	NA	7	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SK-MEL-31	NA
SK-MEL-5	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	396	TRUE	#N/A	#N/A	SK-MEL-5	SK-MEL-5
SK-MES-1	Lung	Effusion, Pleural	Lung	Carcinoma Squamous Cell	65	Years	Male	Caucasian	490	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SK-MES-1	SK-MES-1
SK-MM-2	Lymphoid		Blood	Leukemia	NA	NA	NA	NA	18	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SK-MM-2	SK-MM-2
SK-N-AS	Brain	NA	Brain	Neuroblastoma	NA	NA	NA	NA	276	TRUE	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	SK-N-AS	SK-N-AS
SK-N-DZ	Brain	NA	Brain	Neuroblastoma	2	Years	Female	Caucasian	275	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SK-N-DZ	SK-N-DZ
SK-N-FI	Brain	NA	Brain	Neuroblastoma	11	Years	Male	Caucasian	274	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SK-N-FI	SK-N-FI
SK-N-SH	Brain	NA	Brain	Neuroblastoma	4	Years	Female	NA	60	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SK-N-SH	NA
SK-OV-3	Ovary	NA	Ovary	Adenocarcinoma	NA	NA	Female	Caucasian	429	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SK-OV-3	SK-OV-3
SK23	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	222	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
SKM-1	Lymphoid	NA	Blood	Myelodysplasia	NA	NA	NA	NA	571	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SKM-1	SKM-1
SNU-1	Stomach	NA	Stomach	Carcinoma	NA	NA	NA	NA	597	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SNU-1	NCI-SNU-1
SNU-16	Stomach	Ascites	Stomach	Carcinoma	33	Years	Female	NA	595	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SNU-16	NCI-SNU-16
SNU-182	Liver	NA	Liver	Carcinoma Hepatocellular	NA	NA	NA	NA	59	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SNU-182	NA
SNU-216	Stomach	Lymph Node	Stomach	Carcinoma	46	Years	Female	NA	125	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SNU-216	NA
SNU-387	Liver	NA	Liver	Carcinoma Hepatocellular	NA	NA	NA	NA	248	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine, 100mM HEPES	Complete growth medium, 90%; DMSO, 10%	SNU-387	SNU-387
SNU-398	Liver	NA	Liver	Carcinoma Hepatocellular	NA	NA	NA	NA	247	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine, 100mM HEPES	Complete growth medium, 90%; DMSO, 10%	SNU-398	NA
SNU-423	Liver	NA	Liver	Carcinoma Hepatocellular	NA	NA	NA	NA	158	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine, 100mM HEPES	Complete growth medium, 90%; DMSO, 10%	SNU-423	SNU-423
SNU-449	Liver	NA	Liver	Carcinoma Hepatocellular	NA	NA	NA	NA	246	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine, 100mM HEPES	Complete growth medium, 90%; DMSO, 10%	SNU-449	SNU-449
SNU-475	Liver	NA	Liver	Carcinoma Hepatocellular	NA	NA	NA	NA	245	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine, 100mM HEPES	Complete growth medium, 90%; DMSO, 10%	SNU-475	SNU-475
SNU-484	Stomach	NA	Stomach	Carcinoma	53	Years	Male	NA	124	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
SNU-5	Stomach	NA	Stomach	Carcinoma	NA	NA	NA	NA	596	TRUE	RPMI-1640, 20% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SNU-5	NCI-SNU-5
SNU-601	Stomach	Ascites	Stomach	Carcinoma	34	Years	Male	NA	584	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SNU-601	NA
SNU-620	Stomach	Ascites	Stomach	Carcinoma	59	Years	Female	NA	219	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SNU-620	NA
SNU-638	Stomach	Ascites	Stomach	Carcinoma	48	Years	Male	NA	123	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
SNU-668	Stomach	Ascites	Stomach	Carcinoma	68	Years	Male	NA	122	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SNU-668	NA
SNU-719	Stomach	NA	Stomach	Carcinoma	53	Years	Male	NA	218	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SNU-719	NA
SNU-C1	Colo-Rectal	NA	Colon	Adenocarcinoma	71	Years	Male	NA	258	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SNU-C1	SNU-C1
SR	Lymphoid	NA	Lymph Node	Lymphoma Immunoblastic Large Cell	11	Years	Male	NA	141	TRUE	RPMI-1640, 10% HI FBS, 2mM Glutamine	RPMI, 20% FBS, 10% DMSO	SR-786	SR
SR-786	Lymphoid	NA	Blood	Lymphoma Anaplastic Large Cell	NA	NA	NA	NA	141	FALSE	#N/A	#N/A	SR-786	SR
SU-DHL-1	Lymphoid	NA	Lymph Node	Lymphoma Non-Hodgkins	10	Years	Male	NA	456	TRUE	RPMI-1640, 10% HI FBS, 2mM Glutamine	Complete growth medium, 90%; DMSO, 10%	SU-DHL-1	SU-DHL-1
SU-DHL-10	Other	NA	Pleura	Lymphoma B-cell	NA	NA	Male	NA	455	TRUE	90% RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SU-DHL-10	NA
SU-DHL-16	Lymphoid	NA	Lymph Node	Lymphoma B-cell	NA	NA	Male	NA	454	TRUE	RPMI-1640 10% HI FBS, 2mM Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
SU-DHL-4	Lymphoid	NA	Lymph Node	Lymphoma B-cell	38	Years	Male	NA	453	TRUE	RPMI-1640 10% HI FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	SU-DHL-4	NA
SU-DHL-5	Lymphoid	NA	Lymph Node	Lymphoma B-cell	17	Years	Female	NA	452	TRUE	RPMI-1640 10% HI FBS, 2mM Glutamine	Complete Growth Media, 90%; DMSO, 10%	SU-DHL-5	NA
SU-DHL-6	Lymphoid	NA	Lymph Node	Lymphoma	NA	NA	NA	NA	451	TRUE	RPMI-1640 10% HI FBS, 2mM Glutamine	HI FBS, 90%; DMSO, 10%	SU-DHL-6	NA
SU-DHL-8	Lymphoid	NA	Lymph Node	Lymphoma B-cell	59	Years	Male	NA	450	TRUE	RPMI-1640 20% HI FBS, 2mM Glutamine	RPMI-1640, 20% HI FBS, 10% DMSO	SU-DHL-8	NA
SU.86.86	Pancreas	NA	Pancreas	Adenocarcinoma Ductal	57	Years	Female	Caucasian	410	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	SU.86.86	NA
SUIT-2	Pancreas	NA	Pancreas	Adenocarcinoma Tubular	73	Years	Male	Japanese	313	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SUIT-2	NA
SUM 1315M02	Breast	NA	Breast	Adenocarcinoma Ductal	NA	NA	NA	NA	329	TRUE	Ham's F-12, 5% FBS, Insulin (5ug/ml), EGF (10ng/ml), 10mM HEPES, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
SUM 149PT	Breast	NA	Breast	Adenocarcinoma Ductal	NA	NA	Female	NA	328	TRUE	Ham's F-12, 5% FBS, Insulin (5ug/ml) and Hydrocortisone (1ug/ml), 10mM HEPES, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
SUM 159PT	Breast	NA	Breast	Anaplastic Carcinoma	NA	NA	Female	NA	327	TRUE	Ham's F-12, 5% FBS, Insulin (5ug/ml) and Hydrocortisone (1ug/ml), 10mM HEPES, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
SUM 229PE	Breast	Pleura	Breast	Carcinoma	NA	NA	Female	NA	328	FALSE	Ham's F-12, 5% FBS, Insulin (5ug/ml) and Hydrocortisone (1ug/ml), 10mM HEPES, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
SUM 52PE	Breast	NA	Breast	Carcinoma	NA	NA	NA	NA	326	TRUE	Ham's F-12, 5% FBS, Insulin (5ug/ml) and Hydrocortisone (1ug/ml), 10mM HEPES, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
SUP-B15	Lymphoid	NA	Blood	Leukemia Acute Lymphocytic	NA	NA	NA	NA	570	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SUP-B15	NA
SW 1116	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	NA	NA	518	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SW1116	SW1116
SW 1417	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	Female	Caucasian	212	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS, 10% DMSO	SW1417	SW1417
SW 1463	Colo-Rectal	NA	Colon	Adenocarcinoma	66	Years	Female	Caucasian	174	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% Complete Growth Media, 10% DMSO	SW1463	SW1463
SW 1573	Lung	NA	Lung	Adenocarcinoma Bronchioloalveolar	44	Years	Female	Caucasian	352	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SW 1573	SW1573
SW 1990	Pancreas	NA	Pancreas	Adenocarcinoma	56	Years	Male	Caucasian	409	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SW 1990	SW1990
SW 403	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	NA	NA	517	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SW403	SW403
SW 48	Colo-Rectal	NA	Colon	Adenocarcinoma	82	Years	Female	Caucasian	173	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SW48	SW48
SW 480	Colo-Rectal	NA	Colon	Adenocarcinoma	50	Years	Male	Caucasian	54	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	SW480	NA
SW 527	Breast	NA	Breast	Adenocarcinoma	NA	NA	Female	Caucasian	54	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SW579	NA
SW 620	Colo-Rectal	NA	Colon	Adenocarcinoma	51	Years	Male	Caucasian	54	FALSE	Leibovitz's L-15 Medium, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SW620	SW620
SW 780	Urinary Bladder	NA	Urinary Bladder	Carcinoma Transitional Cell	80	Years	Female	Caucasian	168	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SW 780	SW780
SW 837	Colo-Rectal	NA	Rectum	Adenocarcinoma	53	Years	Male	Caucasian	132	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	SW837	SW837
SW 900	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	Male	Caucasian	17	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SW 900	SW900
SW 948	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	NA	NA	516	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	SW948	SW948
SW 982	Breast	NA	Breast	Sarcoma Synovial	25	Years	Female	Caucasian	272	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	SW982
T-47D	Breast	NA	Breast	Adenocarcinoma Ductal	54	Years	Female	NA	532	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	T-47D	T47D
T84	Colo-Rectal	Lung	Colon	Carcinoma	NA	NA	NA	NA	515	TRUE	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	T84	T84
T98G	Brain	NA	Brain	Glioblastoma	61	Years	Male	Caucasian	273	TRUE	EMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	T98G	T98G
TC-71	Sarcomatoid	NA	Bone	Sarcoma Ewings	22	Years	Male	NA	300	TRUE	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	TC-71	NA
